GKZ,Gebietsname,Wahlbe-rechtigte,Stimmen,Unnamed: 4,Unnamed: 5,ÖVP,%,SPÖ,%.1,FPÖ,%.2,NEOS,%.3,JETZT,%.4,GRÜNE,%.5,KPÖ,%.6,WANDL,%.7,BZÖ,%.8,BIER,%.9,CPÖ,%.10,GILT,%.11,SLP,%.12
G10314,Schützen am Gebirge,1108.0,849,18,831,392.0,47.172081829121545,217.0,26.113116726835138,112.0,13.477737665463296,43.0,5.174488567990373,7.0,0.842358604091456,54.0,6.4981949458483745,0.0,0.0,4.0,0.48134777376654636,,0.0,,0.0,2.0,0.24067388688327318,,0.0,,0.0
G10315,Siegendorf,2270.0,1634,29,1605,376.0,23.426791277258566,714.0,44.48598130841121,259.0,16.13707165109034,65.0,4.049844236760125,26.0,1.61993769470405,153.0,9.532710280373832,9.0,0.5607476635514018,2.0,0.12461059190031153,,0.0,,0.0,1.0,0.06230529595015576,,0.0,,0.0
G10316,Steinbrunn,2099.0,1503,16,1487,473.0,31.80901143241426,528.0,35.50773369199731,249.0,16.745124411566913,84.0,5.648957632817754,20.0,1.3449899125756557,120.0,8.069939475453934,8.0,0.5379959650302623,4.0,0.26899798251513113,,0.0,,0.0,1.0,0.06724949562878278,,0.0,,0.0
G10317,Trausdorf an der Wulka,1658.0,1150,11,1139,409.0,35.908691834942935,397.0,34.85513608428446,171.0,15.013169446883232,48.0,4.214223002633889,21.0,1.8437225636523267,86.0,7.550482879719052,3.0,0.2633889376646181,2.0,0.17559262510974538,,0.0,,0.0,2.0,0.17559262510974538,,0.0,,0.0
G10318,Wimpassing an der Leitha,1226.0,851,12,839,343.0,40.88200238379023,187.0,22.288438617401667,172.0,20.500595947556615,59.0,7.032181168057211,8.0,0.9535160905840285,67.0,7.985697258641239,2.0,0.23837902264600713,1.0,0.11918951132300357,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10319,Wulkaprodersdorf,1486.0,1123,24,1099,426.0,38.762511373976345,371.0,33.75796178343949,105.0,9.554140127388536,46.0,4.185623293903549,20.0,1.8198362147406733,125.0,11.373976342129207,5.0,0.4549590536851683,1.0,0.09099181073703368,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10320,Loretto,411.0,283,1,282,110.0,39.00709219858156,78.0,27.659574468085108,48.0,17.02127659574468,16.0,5.673758865248227,10.0,3.546099290780142,18.0,6.382978723404255,2.0,0.7092198581560284,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10321,Stotzing,645.0,470,8,462,203.0,43.93939393939394,126.0,27.27272727272727,76.0,16.450216450216452,31.0,6.70995670995671,3.0,0.6493506493506493,21.0,4.545454545454546,1.0,0.21645021645021645,0.0,0.0,,0.0,,0.0,1.0,0.21645021645021645,,0.0,,0.0
G10322,Zillingtal,761.0,527,7,520,169.0,32.5,163.0,31.346153846153847,84.0,16.153846153846153,32.0,6.153846153846154,9.0,1.7307692307692308,60.0,11.538461538461538,3.0,0.576923076923077,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10323,Zagersdorf,832.0,595,9,586,234.0,39.93174061433447,213.0,36.3481228668942,73.0,12.457337883959044,25.0,4.266211604095563,5.0,0.8532423208191127,30.0,5.1194539249146755,3.0,0.5119453924914675,1.0,0.17064846416382254,,0.0,,0.0,2.0,0.3412969283276451,,0.0,,0.0
G10399,Wahlkarten - Eisenstadt - Umgebung,0.0,3664,35,3629,1358.0,37.42077707357399,1067.0,29.402039129236705,453.0,12.482777624689998,231.0,6.365389914577019,43.0,1.1848994213281896,447.0,12.317442821713971,15.0,0.4133370074400662,12.0,0.3306696059520529,,0.0,,0.0,3.0,0.08266740148801323,,0.0,,0.0
G10400,Güssing,21151.0,17336,227,17109,7357.0,43.00075983400549,4935.0,28.844467823952307,2828.0,16.52931205798118,636.0,3.7173417499561636,147.0,0.8591969139049622,1087.0,6.353381261324449,59.0,0.3448477409550529,39.0,0.22795020164825527,,0.0,,0.0,21.0,0.12274241627213747,,0.0,,0.0
G10401,Bocksdorf,674.0,488,4,484,157.0,32.438016528925615,177.0,36.570247933884296,104.0,21.487603305785125,18.0,3.71900826446281,7.0,1.4462809917355373,19.0,3.925619834710744,2.0,0.4132231404958678,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10402,Burgauberg-Neudauberg,1097.0,771,13,758,329.0,43.403693931398415,183.0,24.142480211081793,163.0,21.503957783641162,27.0,3.562005277044855,4.0,0.5277044854881267,44.0,5.804749340369393,4.0,0.5277044854881267,2.0,0.2638522427440633,,0.0,,0.0,2.0,0.2638522427440633,,0.0,,0.0
G10403,Eberau,722.0,495,7,488,274.0,56.14754098360656,93.0,19.057377049180328,68.0,13.934426229508196,20.0,4.098360655737705,5.0,1.0245901639344261,25.0,5.122950819672131,2.0,0.4098360655737705,1.0,0.20491803278688525,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10404,Gerersdorf-Sulz,834.0,601,4,597,282.0,47.23618090452261,171.0,28.643216080402013,83.0,13.90284757118928,16.0,2.680067001675042,3.0,0.5025125628140703,42.0,7.035175879396985,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10405,Güssing,2954.0,1969,33,1936,876.0,45.24793388429752,508.0,26.239669421487605,314.0,16.219008264462808,92.0,4.75206611570248,21.0,1.084710743801653,116.0,5.991735537190083,5.0,0.2582644628099174,0.0,0.0,,0.0,,0.0,4.0,0.2066115702479339,,0.0,,0.0
G10406,Güttenbach,725.0,510,10,500,251.0,50.2,132.0,26.400000000000002,61.0,12.2,19.0,3.8,5.0,1.0,31.0,6.2,1.0,0.2,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10407,Heiligenbrunn,651.0,455,7,448,252.0,56.25,107.0,23.883928571428573,66.0,14.732142857142858,5.0,1.1160714285714286,1.0,0.2232142857142857,14.0,3.125,2.0,0.4464285714285714,1.0,0.2232142857142857,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10408,Kukmirn,1651.0,1122,21,1101,459.0,41.689373297002724,259.0,23.524069028156223,224.0,20.345140781108086,50.0,4.541326067211625,15.0,1.3623978201634876,79.0,7.1752951861943695,9.0,0.8174386920980926,6.0,0.544959128065395,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10409,Neuberg im Burgenland,833.0,576,6,570,257.0,45.08771929824562,183.0,32.10526315789474,73.0,12.80701754385965,21.0,3.684210526315789,2.0,0.3508771929824561,30.0,5.263157894736842,2.0,0.3508771929824561,1.0,0.17543859649122806,,0.0,,0.0,1.0,0.17543859649122806,,0.0,,0.0
G10410,Neustift bei Güssing,412.0,268,3,265,71.0,26.79245283018868,115.0,43.39622641509434,56.0,21.132075471698116,6.0,2.2641509433962264,2.0,0.7547169811320755,12.0,4.528301886792453,2.0,0.7547169811320755,0.0,0.0,,0.0,,0.0,1.0,0.37735849056603776,,0.0,,0.0
G10411,Olbendorf,1200.0,836,19,817,222.0,27.172582619339046,328.0,40.1468788249694,185.0,22.643818849449204,25.0,3.0599755201958385,5.0,0.6119951040391677,41.0,5.018359853121175,6.0,0.7343941248470013,2.0,0.24479804161566704,,0.0,,0.0,3.0,0.36719706242350064,,0.0,,0.0
G10412,Ollersdorf im Burgenland,805.0,649,10,639,262.0,41.00156494522692,206.0,32.237871674491394,95.0,14.86697965571205,21.0,3.286384976525822,6.0,0.9389671361502347,39.0,6.103286384976526,2.0,0.3129890453834116,5.0,0.7824726134585289,,0.0,,0.0,3.0,0.4694835680751174,,0.0,,0.0
G10413,Sankt Michael im Burgenland,811.0,617,9,608,302.0,49.67105263157895,136.0,22.36842105263158,106.0,17.434210526315788,29.0,4.769736842105264,4.0,0.6578947368421052,29.0,4.769736842105264,1.0,0.1644736842105263,1.0,0.1644736842105263,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10414,Stegersbach,2091.0,1419,15,1404,520.0,37.03703703703704,432.0,30.76923076923077,260.0,18.51851851851852,65.0,4.62962962962963,18.0,1.282051282051282,95.0,6.766381766381767,7.0,0.49857549857549854,2.0,0.14245014245014245,,0.0,,0.0,5.0,0.3561253561253561,,0.0,,0.0
G10415,Stinatz,940.0,652,7,645,210.0,32.55813953488372,327.0,50.697674418604656,34.0,5.271317829457364,14.0,2.1705426356589146,6.0,0.9302325581395349,53.0,8.217054263565892,0.0,0.0,1.0,0.15503875968992248,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10416,Strem,762.0,537,9,528,309.0,58.52272727272727,85.0,16.098484848484848,90.0,17.045454545454543,17.0,3.2196969696969697,3.0,0.5681818181818182,21.0,3.977272727272727,2.0,0.3787878787878788,0.0,0.0,,0.0,,0.0,1.0,0.1893939393939394,,0.0,,0.0
G10417,Tobaj,1112.0,808,9,799,403.0,50.438047559449316,142.0,17.77221526908636,166.0,20.77596996245307,29.0,3.629536921151439,7.0,0.8760951188986232,41.0,5.131414267834793,6.0,0.7509386733416771,4.0,0.5006257822277848,,0.0,,0.0,1.0,0.1251564455569462,,0.0,,0.0
G10418,Hackerberg,287.0,203,2,201,105.0,52.23880597014925,58.0,28.855721393034827,26.0,12.935323383084576,2.0,0.9950248756218906,2.0,0.9950248756218906,8.0,3.9800995024875623,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10419,Wörterberg,396.0,290,3,287,116.0,40.41811846689895,87.0,30.313588850174217,47.0,16.376306620209057,5.0,1.7421602787456445,3.0,1.0452961672473868,27.0,9.40766550522648,0.0,0.0,2.0,0.6968641114982579,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10420,Großmürbisch,212.0,149,1,148,81.0,54.729729729729726,46.0,31.08108108108108,10.0,6.756756756756757,4.0,2.7027027027027026,0.0,0.0,7.0,4.72972972972973,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10421,Inzenhof,252.0,197,2,195,66.0,33.84615384615385,93.0,47.69230769230769,31.0,15.897435897435896,1.0,0.5128205128205128,0.0,0.0,4.0,2.051282051282051,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10422,Kleinmürbisch,205.0,134,3,131,61.0,46.56488549618321,46.0,35.11450381679389,21.0,16.030534351145036,0.0,0.0,0.0,0.0,2.0,1.5267175572519083,0.0,0.0,1.0,0.7633587786259541,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10423,Tschanigraben,54.0,38,1,37,10.0,27.027027027027028,21.0,56.75675675675676,5.0,13.513513513513514,0.0,0.0,0.0,0.0,1.0,2.7027027027027026,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10424,Heugraben,187.0,152,1,151,63.0,41.72185430463576,49.0,32.450331125827816,32.0,21.192052980132452,4.0,2.6490066225165565,0.0,0.0,3.0,1.9867549668874174,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10425,Rohr im Burgenland,327.0,241,1,240,110.0,45.83333333333333,63.0,26.25,50.0,20.833333333333336,7.0,2.9166666666666665,1.0,0.4166666666666667,8.0,3.3333333333333335,0.0,0.0,1.0,0.4166666666666667,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10426,Bildein,261.0,214,1,213,134.0,62.91079812206573,25.0,11.737089201877934,36.0,16.901408450704224,3.0,1.4084507042253522,0.0,0.0,14.0,6.572769953051644,1.0,0.4694835680751174,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10427,Rauchwart,371.0,279,8,271,82.0,30.25830258302583,102.0,37.63837638376384,71.0,26.199261992619927,2.0,0.7380073800738007,2.0,0.7380073800738007,9.0,3.3210332103321036,0.0,0.0,3.0,1.107011070110701,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10428,Moschendorf,325.0,257,4,253,148.0,58.498023715415016,56.0,22.134387351778656,34.0,13.438735177865613,1.0,0.3952569169960474,1.0,0.3952569169960474,13.0,5.138339920948617,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10499,Wahlkarten - Güssing,0.0,2409,14,2395,945.0,39.45720250521921,705.0,29.436325678496868,317.0,13.23590814196242,133.0,5.553235908141962,24.0,1.0020876826722338,260.0,10.855949895615867,5.0,0.20876826722338201,6.0,0.25052192066805845,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10500,Jennersdorf,14311.0,11323,166,11157,4526.0,40.56646051806041,2669.0,23.9222013085955,2366.0,21.20641749574258,460.0,4.1229721251232405,147.0,1.3175584834632965,890.0,7.977054763825402,58.0,0.5198530070807564,30.0,0.26888948642108096,,0.0,,0.0,11.0,0.09859281168772968,,0.0,,0.0
G10501,Deutsch Kaltenbrunn,1470.0,965,19,946,339.0,35.83509513742072,280.0,29.59830866807611,191.0,20.190274841437635,38.0,4.0169133192389,12.0,1.2684989429175475,78.0,8.24524312896406,4.0,0.42283298097251587,3.0,0.3171247357293869,,0.0,,0.0,1.0,0.10570824524312897,,0.0,,0.0
G10502,Eltendorf,791.0,533,5,528,207.0,39.20454545454545,135.0,25.568181818181817,126.0,23.863636363636363,17.0,3.2196969696969697,6.0,1.1363636363636365,34.0,6.4393939393939394,0.0,0.0,2.0,0.3787878787878788,,0.0,,0.0,1.0,0.1893939393939394,,0.0,,0.0
G10503,Heiligenkreuz im Lafnitztal,966.0,632,8,624,262.0,41.98717948717949,173.0,27.724358974358974,131.0,20.993589743589745,16.0,2.564102564102564,7.0,1.1217948717948718,30.0,4.807692307692308,2.0,0.3205128205128205,2.0,0.3205128205128205,,0.0,,0.0,1.0,0.16025641025641024,,0.0,,0.0
G10504,Jennersdorf,3465.0,2257,32,2225,913.0,41.03370786516854,362.0,16.269662921348317,619.0,27.820224719101123,88.0,3.955056179775281,25.0,1.1235955056179776,201.0,9.03370786516854,13.0,0.5842696629213483,4.0,0.1797752808988764,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10505,Minihof-Liebau,879.0,633,10,623,235.0,37.7207062600321,161.0,25.842696629213485,141.0,22.632423756019264,37.0,5.9390048154093105,6.0,0.9630818619582664,35.0,5.617977528089887,5.0,0.8025682182985553,2.0,0.32102728731942215,,0.0,,0.0,1.0,0.16051364365971107,,0.0,,0.0
G10506,Mogersdorf,915.0,650,10,640,231.0,36.09375,200.0,31.25,132.0,20.625,25.0,3.90625,7.0,1.09375,38.0,5.9375,6.0,0.9375,1.0,0.15625,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10507,Neuhaus am Klausenbach,754.0,498,5,493,230.0,46.65314401622718,111.0,22.515212981744423,93.0,18.864097363083165,14.0,2.839756592292089,4.0,0.8113590263691683,33.0,6.693711967545639,5.0,1.0141987829614605,2.0,0.4056795131845842,,0.0,,0.0,1.0,0.2028397565922921,,0.0,,0.0
G10508,Rudersdorf,1835.0,1214,23,1191,520.0,43.6607892527288,277.0,23.25776658270361,227.0,19.059613769941226,54.0,4.534005037783375,14.0,1.1754827875734677,90.0,7.5566750629722925,3.0,0.2518891687657431,4.0,0.33585222502099077,,0.0,,0.0,2.0,0.16792611251049538,,0.0,,0.0
G10509,Sankt Martin an der Raab,1715.0,1277,22,1255,544.0,43.34661354581673,289.0,23.02788844621514,246.0,19.60159362549801,48.0,3.824701195219123,18.0,1.4342629482071714,102.0,8.127490039840637,4.0,0.3187250996015936,2.0,0.1593625498007968,,0.0,,0.0,2.0,0.1593625498007968,,0.0,,0.0
G10510,Weichselbaum,586.0,447,11,436,202.0,46.330275229357795,113.0,25.91743119266055,85.0,19.495412844036696,8.0,1.834862385321101,8.0,1.834862385321101,16.0,3.669724770642202,2.0,0.45871559633027525,2.0,0.45871559633027525,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10511,Königsdorf,611.0,453,6,447,181.0,40.49217002237137,137.0,30.648769574944073,89.0,19.910514541387027,13.0,2.9082774049217,7.0,1.5659955257270695,19.0,4.250559284116331,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,0.22371364653243847,,0.0,,0.0
G10512,Mühlgraben,324.0,237,6,231,63.0,27.27272727272727,99.0,42.857142857142854,38.0,16.450216450216452,13.0,5.627705627705628,1.0,0.4329004329004329,15.0,6.493506493506493,2.0,0.8658008658008658,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10599,Wahlkarten - Jennersdorf,0.0,1527,9,1518,599.0,39.45981554677207,332.0,21.870882740447957,248.0,16.337285902503293,89.0,5.862977602108037,32.0,2.1080368906455864,199.0,13.10935441370224,12.0,0.7905138339920948,6.0,0.3952569169960474,,0.0,,0.0,1.0,0.06587615283267458,,0.0,,0.0
G10600,Mattersburg,31587.0,25758,400,25358,9000.0,35.49175802508084,8008.0,31.57977758498304,4230.0,16.681126271787996,1371.0,5.406577805820648,328.0,1.293477403580724,2222.0,8.762520703525514,109.0,0.4298446249704236,63.0,0.2484423061755659,,0.0,,0.0,27.0,0.10647527407524253,,0.0,,0.0
G10601,Draßburg,939.0,624,7,617,151.0,24.473257698541328,321.0,52.0259319286872,74.0,11.9935170178282,24.0,3.889789303079417,4.0,0.6482982171799028,37.0,5.9967585089141,4.0,0.6482982171799028,2.0,0.3241491085899514,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10602,Forchtenstein,2253.0,1593,20,1573,655.0,41.64017800381436,455.0,28.92561983471074,285.0,18.118245390972664,70.0,4.4500953591862675,12.0,0.7628734901462174,93.0,5.912269548633185,2.0,0.12714558169103624,1.0,0.06357279084551812,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10603,Hirm,751.0,583,18,565,147.0,26.017699115044245,274.0,48.49557522123894,83.0,14.690265486725664,14.0,2.47787610619469,9.0,1.592920353982301,33.0,5.84070796460177,2.0,0.35398230088495575,1.0,0.17699115044247787,,0.0,,0.0,2.0,0.35398230088495575,,0.0,,0.0
G10604,Loipersbach im Burgenland,988.0,704,23,681,147.0,21.58590308370044,257.0,37.73861967694567,176.0,25.844346549192366,31.0,4.552129221732746,10.0,1.4684287812041115,57.0,8.370044052863436,2.0,0.2936857562408223,1.0,0.14684287812041116,,0.0,,0.0,0.0,0.0,,0.0,,0.0
G10605,Marz,1615.0,1208,24,1184,486.0,41.0472972972973,345.0,29.138513513513516,165.0,13.93581081081081,74.0,6.25,14.0,1.1824324324324325,90.0,7.601351351351352,5.0,0.4222972972972973,3.0,0.2533783783783784,,0.0,,0.0,2.0,0.16891891891891891,,0.0,,0.0
G10606,Mattersburg,5767.0,3878,64,3814,1369.0,35.89407446250655,1090.0,28.578919769271106,661.0,17.330886208704772,220.0,5.768222338751967,61.0,1.599370739381227,374.0,9.805977975878342,18.0,0.47194546407970633,14.0,0.36706869428421607,,0.0,,0.0,7.0,0.18353434714210803,,0.0,,0.0
